,molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
29,CHEMBL96443,O=C(CN(CC1CCCCC1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,inactive,572.7060000000002,5.859900000000005,3.0,5.0,3.3010299956639813
30,CHEMBL79433,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,active,501.0040000000003,4.446200000000004,2.0,6.0,9.0
31,CHEMBL421966,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)C1,active,423.42200000000014,1.8888,2.0,7.0,9.397940008672037
32,CHEMBL357934,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC(C)C)C[C@@H]2C(=O)NO)cc1,active,427.52300000000014,2.1624999999999996,2.0,7.0,9.397940008672037
33,CHEMBL95004,CCC(C)N(CC(=O)N(CC(=O)NO)C(C)C)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,456.5430000000002,3.8537000000000017,3.0,5.0,4.142667503568732
34,CHEMBL94796,CC(C)N(CC(=O)N(CC(=O)NO)C(C)(C)C)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,456.5430000000002,3.8537000000000017,3.0,5.0,3.8096683018297086
35,CHEMBL97552,CC(C)N(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,518.6140000000001,4.688000000000004,3.0,5.0,3.3010299956639813
36,CHEMBL97513,O=C(CN(CCCCc1ccccc1)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,active,608.7390000000005,6.3025000000000055,3.0,5.0,6.045757490560675
37,CHEMBL358405,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OCCOC)cc2)C1,active,356.4000000000002,0.5364000000000004,2.0,6.0,8.045757490560675
38,CHEMBL95187,CCC(C)N(CC(=O)NO)C(=O)CN(Cc1ccccc1)C(=O)Nc1cccc2ccccc12,inactive,462.5500000000001,4.006400000000003,3.0,4.0,3.958607314841775
39,CHEMBL95781,CCCCCN(CC(=O)NO)C(=O)CN(CCCCc1ccccc1)C(=O)Nc1cc(Cl)ccc1OC,inactive,533.0690000000001,4.729600000000004,3.0,5.0,3.3010299956639813
40,CHEMBL328477,CCCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,546.6680000000002,5.469800000000005,3.0,5.0,4.0
41,CHEMBL318122,O=C(CN(C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)C(c1ccccc1)c1ccccc1)NO,inactive,642.7560000000003,7.0692000000000075,3.0,5.0,3.6989700043360187
42,CHEMBL151024,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OCCCC)cc2)C1,active,354.4280000000002,1.6901,2.0,5.0,9.096910013008056
43,CHEMBL151235,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)C1,active,407.44800000000015,1.2668999999999997,3.0,7.0,9.397940008672037
44,CHEMBL329696,CC(C)(C)N(CC(=O)N(CC(=O)NO)CC1CCCCC1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,510.6350000000003,5.025600000000004,3.0,5.0,3.8239087409443187
45,CHEMBL97408,O=C(CN(C(=O)CN(C(=O)Nc1ccc(Oc2ccccc2)cc1)C1CCCc2ccccc21)C1CCCc2ccccc21)NO,inactive,618.7340000000004,6.802000000000008,3.0,5.0,4.221848749616356
46,CHEMBL328607,CCCCN(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,532.6410000000002,5.079700000000004,3.0,5.0,3.638272163982407
48,CHEMBL151133,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1,active,427.52300000000014,2.3049999999999997,2.0,7.0,9.301029995663981
49,CHEMBL358182,CCCCOc1ccc(S(=O)(=O)N2CC(NOC)C[C@@H]2C(=O)NO)cc1,active,387.4580000000001,0.653500000000001,3.0,7.0,9.0
50,CHEMBL94873,CCCCCCCN(CC(=O)NO)C(=O)CN(CCCCC)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,526.6780000000003,5.807400000000005,3.0,5.0,4.221848749616356
51,CHEMBL149977,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,active,385.44200000000006,1.1362999999999999,2.0,7.0,9.0
52,CHEMBL97293,CSc1ccccc1NC(=O)N(CCCc1ccccc1)CC(=O)N(CC(=O)NO)C(C)(C)C,inactive,486.6380000000002,4.007700000000002,3.0,5.0,3.8239087409443187
53,CHEMBL357050,COCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1,active,387.4140000000001,-0.01739999999999864,2.0,8.0,9.301029995663981
54,CHEMBL440178,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCc3ccccc3)C[C@@H]2C(=O)NO)cc1,active,461.54000000000013,2.7067000000000005,2.0,7.0,9.397940008672037
55,CHEMBL97175,CCCCCCCN(CC(=O)NO)C(=O)CN(C(=O)Nc1ccc(OCCCC)cc1)C(c1ccccc1)c1ccccc1,inactive,602.7760000000003,6.793400000000006,3.0,5.0,3.3010299956639813
56,CHEMBL93768,CCC(C)N(CC(=O)NO)C(=O)CN(CCCc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1,inactive,532.6410000000002,5.0781000000000045,3.0,5.0,3.431798275933005
57,CHEMBL314327,O=C(CN(CCCc1ccccc1)C(=O)CN(Cc1ccccc1)C(=O)Nc1ccc(Oc2ccccc2)cc1)NO,inactive,566.6580000000002,5.4798000000000044,3.0,5.0,4.366531544420414
58,CHEMBL356011,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)C1,active,374.4180000000001,2.3035000000000005,2.0,5.0,9.397940008672037
59,CHEMBL356471,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1,active,343.3610000000001,-0.03399999999999914,2.0,7.0,9.0
60,CHEMBL150745,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OCCC)cc2)C1,active,340.4010000000002,1.2999999999999998,2.0,5.0,8.698970004336019
61,CHEMBL279785,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,active,331.41300000000007,-0.20809999999999906,5.0,5.0,8.698970004336019
62,CHEMBL125901,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccncc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,458.5430000000003,4.125200000000003,1.0,7.0,6.7544873321858505
63,CHEMBL125302,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3nccs3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,464.5720000000003,4.186700000000003,1.0,8.0,8.096910013008056
64,CHEMBL125138,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3nc4ccccc4s3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,514.6320000000003,5.3399000000000045,1.0,8.0,6.081445469449727
65,CHEMBL126711,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2S1(=O)=O,active,528.0510000000003,5.423200000000006,1.0,5.0,7.886056647693163
66,CHEMBL123503,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(F)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,503.5950000000003,5.544000000000005,1.0,4.0,7.2076083105017466
67,CHEMBL126712,CC1(C)NC(=O)N(C[C@@H]2CC[C@H](Sc3ccc(-c4ccc(Cl)cc4)cc3)[C@H]2C(=O)O)C1=O,active,472.9940000000002,4.908900000000005,2.0,4.0,6.242603971206976
68,CHEMBL127035,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1NNc2ccsc2C1=O,active,500.04500000000024,5.627500000000004,3.0,6.0,7.698970004336019
69,CHEMBL126380,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,492.0000000000003,5.383600000000005,1.0,6.0,6.071092309756048
70,CHEMBL339137,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,520.0540000000003,5.567200000000006,1.0,6.0,6.97469413473523
71,CHEMBL339610,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,active,519.6480000000003,4.5168000000000035,1.0,8.0,7.853871964321762
72,CHEMBL127787,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,552.0520000000001,4.248800000000004,1.0,7.0,6.416801226031377
73,CHEMBL337946,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,active,503.64900000000017,5.452100000000005,1.0,7.0,8.301029995663981
74,CHEMBL127559,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,552.0480000000002,4.739900000000005,1.0,5.0,7.119186407719209
75,CHEMBL340345,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1NNc2[nH]cnc2C1=O,active,483.9810000000002,4.289100000000003,4.0,6.0,6.886056647693163
76,CHEMBL296761,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(-c3ccccc3)cc2)C(=O)NO)cc1,active,542.7230000000002,5.206400000000004,2.0,6.0,7.522878745280337
77,CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,active,393.4650000000001,1.8110999999999997,2.0,6.0,7.823908740944319
78,CHEMBL340771,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,active,482.5650000000001,4.601880000000003,1.0,7.0,7.886056647693163
79,CHEMBL296911,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccccc2)C(=O)NO)cc1,active,466.6250000000001,3.5394000000000014,2.0,6.0,9.154901959985743
80,CHEMBL115653,CN1C(=O)N(C[C@H](C(=O)NO)[C@@H](CC2CCCC2)C(=O)N2CCCCC2)C(=O)C1(C)C,active,436.55300000000034,1.9895999999999991,2.0,5.0,6.812479279163537
81,CHEMBL45162,COc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCSCc2ccc(OCc3ccccc3)cc2)C(=O)NO)cc1,active,572.7490000000003,5.118400000000004,2.0,7.0,7.309803919971486
82,CHEMBL126923,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,485.60500000000036,5.404900000000005,1.0,4.0,7.337242168318426
83,CHEMBL127138,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nc2n(c1=O)CCCCC2,active,498.04800000000046,5.363300000000006,1.0,6.0,8.769551078621726
84,CHEMBL341249,O=C(O)[C@@H]1[C@@H](S(=O)(=O)c2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,523.9980000000003,4.065200000000003,1.0,7.0,7.080921907623926
85,CHEMBL47728,CSCC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,active,436.59900000000016,3.6274000000000024,2.0,5.0,9.154901959985743
86,CHEMBL75094,CC1(C)SCCN(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)[C@H]1C(=O)NO,active,423.5160000000001,2.2640000000000002,2.0,7.0,9.301029995663981
87,CHEMBL126461,O=C(NO)C(CCn1nnc2ccccc2c1=O)CSc1ccc(-c2ccc(Cl)cc2)cc1,active,480.9770000000002,4.415900000000002,2.0,7.0,10.221848749616356
88,CHEMBL338877,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1c(=O)nc2ccccn2c1=O,active,507.9990000000003,4.448300000000005,1.0,7.0,8.045757490560675
89,CHEMBL126977,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,457.55100000000033,5.221300000000004,1.0,4.0,7.619788758288394
90,CHEMBL127168,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,active,498.56400000000014,3.6665800000000015,1.0,8.0,7.698970004336019
91,CHEMBL339588,O=C(O)[C@@H]1[C@@H](Cn2nnc3ccccc3c2=O)CC[C@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,active,492.0000000000002,5.383600000000005,1.0,6.0,6.129011186239425
92,CHEMBL127867,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nc2ccccn2c1=O,active,479.98900000000026,5.088100000000005,1.0,6.0,7.6020599913279625
93,CHEMBL45357,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,active,344.43300000000005,1.6258999999999995,2.0,5.0,7.275724130399211
94,CHEMBL125104,O=C(O)[C@@H]1[C@@H](SCc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,471.5780000000004,5.3624000000000045,1.0,4.0,8.55284196865778
95,CHEMBL340455,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,520.0500000000003,6.058300000000006,1.0,4.0,7.136677139879544
96,CHEMBL339315,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3c[nH]nn3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,active,448.5080000000003,2.848300000000001,2.0,8.0,7.0
97,CHEMBL337986,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(F)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,active,535.5930000000003,4.2256000000000045,1.0,5.0,7.119186407719209
98,CHEMBL348878,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCc1ccc(-c2ccc(F)cc2)cc1)CC(=O)NO)C(C)(C)C)c1ccccc1,active,547.6710000000003,5.345300000000004,4.0,4.0,6.6777807052660805
99,CHEMBL356413,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C(F)(F)F)c1)CC(=O)NO)C(C)(C)C,active,521.5800000000002,4.483700000000003,4.0,4.0,7.0655015487564325
100,CHEMBL154440,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)cc1)CC(=O)NO)C(=O)NC(c1ccccc1)c1ccccc1,active,605.7790000000001,6.624700000000006,4.0,4.0,6.508638306165727
102,CHEMBL436230,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(=O)NC(c1ccccc1)c1ccccc1,active,529.6810000000002,4.9577000000000035,4.0,4.0,6.382999658879101
